年月,Fabrics Apparel & Accessories,Machinery & Equipment,Fuel
2002年1月,909,638,969
2002年2月,744,565,915
2002年3月,957,686,942
2002年4月,925,658,877
2002年5月,850,606,878
2002年6月,850,628,850
2002年7月,890,719,915
2002年8月,734,618,913
2002年9月,824,577,837
2002年10月,906,573,865
2002年11月,942,644,944
2002年12月,1013,834,1071
2003年1月,905,600,916
2003年2月,732,566,931
2003年3月,947,727,990
2003年4月,907,640,899
2003年5月,868,616,881
2003年6月,889,654,843
2003年7月,937,712,873
2003年8月,762,671,904
2003年9月,813,633,845
2003年10月,1003,609,869
2003年11月,947,638,899
2003年12月,1052,826,1059
2004年1月,1013,640,953
2004年2月,808,596,926
2004年3月,984,699,985
2004年4月,942,652,906
2004年5月,910,630,883
2004年6月,879,682,864
2004年7月,974,813,982
2004年8月,761,655,950
2004年9月,829,617,917
2004年10月,1008,637,980
2004年11月,942,657,1020
2004年12月,1099,880,1214
2005年1月,1060,680,1107
2005年2月,745,581,1052
2005年3月,939,719,1116
2005年4月,959,654,1041
2005年5月,918,617,983
2005年6月,897,678,964
2005年7月,1002,768,1008
2005年8月,748,664,1051
2005年9月,817,623,969
2005年10月,972,639,1004
2005年11月,944,674,1071
2005年12月,1109,929,1293
2006年1月,1027,693,1192
2006年2月,739,602,1124
2006年3月,925,768,1192
2006年4月,932,674,1071
2006年5月,890,641,1014
2006年6月,877,676,964
2006年7月,972,791,1047
2006年8月,727,673,1094
2006年9月,797,632,1017
2006年10月,932,625,1034
2006年11月,921,691,1084
2006年12月,1047,943,1236
2007年1月,948,707,1089
2007年2月,736,635,1020
2007年3月,917,798,1102
2007年4月,924,690,1023
2007年5月,892,647,979
2007年6月,880,692,958
2007年7月,893,772,1021
2007年8月,740,710,1092
2007年9月,788,663,1010
2007年10月,932,636,1044
2007年11月,917,702,1100
2007年12月,1027,965,1259
2008年1月,963,721,1144
2008年2月,744,629,1169
2008年3月,910,817,1147
2008年4月,896,677,1058
2008年5月,858,662,990
2008年6月,863,702,985
2008年7月,890,824,1060
2008年8月,724,738,1059
2008年9月,773,657,1016
2008年10月,893,626,986
2008年11月,919,711,1019
2008年12月,976,905,1104
2009年1月,921,730,962
2009年2月,690,614,895
2009年3月,856,795,960
2009年4月,874,657,877
2009年5月,852,647,864
2009年6月,805,692,935
2009年7月,879,806,983
2009年8月,724,731,968
2009年9月,776,668,914
2009年10月,877,669,951
2009年11月,896,714,996
2009年12月,995,930,1205
2010年1月,975,758,1070
2010年2月,745,664,1079
2010年3月,921,900,1148
2010年4月,892,743,1079
2010年5月,881,683,1027
2010年6月,857,727,1011
2010年7月,945,852,1067
2010年8月,733,803,1079
2010年9月,775,734,989
2010年10月,934,800,1001
2010年11月,899,1028,1083
2010年12月,1004,823,1265
2011年1月,973,686,1202
2011年2月,760,652,1161
2011年3月,826,769,1215
2011年4月,933,703,1094
2011年5月,906,732,1046
2011年6月,886,849,1037
2011年7月,957,953,1088
2011年8月,743,664,1115
2011年9月,770,570,1014
2011年10月,959,554,1039
2011年11月,923,521,1097
2011年12月,1050,750,1339
2012年1月,994,590,1195
2012年2月,765,538,1221
2012年3月,958,642,1290
2012年4月,978,556,1177
2012年5月,918,545,1072
2012年6月,883,575,975
2012年7月,953,697,1013
2012年8月,769,582,1060
2012年9月,770,566,1016
2012年10月,941,524,1049
2012年11月,959,508,1117
2012年12月,1055,706,1365
2013年1月,993,564,1250
2013年2月,754,515,1246
2013年3月,1012,628,1294
2013年4月,966,527,1157
2013年5月,970,521,1107
2013年6月,968,591,1026
2013年7月,962,646,1093
2013年8月,798,585,1123
2013年9月,798,549,1060
2013年10月,921,553,1095
2013年11月,985,549,1185
2013年12月,1060,712,1377
